Date,Latitude,Longitude,Depth,Magnitude,Magnitude Type_MD,Magnitude Type_MH,Magnitude Type_ML,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWR,Magnitude Type_MWW,Status_Reviewed,Cluster
1965-02-07,52.031,175.411,-0.312731353622927,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-02-07,51.294,179.092,-0.312731353622927,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-02-08,55.223,165.426,-0.07055329935895721,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-02-09,-18.718,169.386,1.6415268105989025,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-02-09,52.815,171.904,-0.14466252700223597,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-02-12,52.188,172.752,-0.312731353622927,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-02-15,51.009,179.325,-0.5168078356520622,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-02-15,3.026,125.951,0.9839459084619111,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-02-16,38.908,142.095,0.39446045400522817,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-02-17,51.694,176.446,-0.14466252700223597,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-02-17,21.527,143.081,2.1465985896970907,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-02-18,25.011,94.186,0.42040404138056114,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-02-18,-7.251,126.715,-0.001780453857957312,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-02-18,51.415,179.358,0.13176628931771944,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-02-21,-15.343,-172.889,-0.001780453857957312,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,1
1965-02-23,-25.633,-70.679,-0.001780453857957312,2.587159956444221,0,0,0,0,1,0,0,0,0,0,4
1965-02-25,-5.461,151.98,0.12248922515619512,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,0
1965-02-25,51.884,173.072,-0.5032539899189606,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,0
1965-02-26,6.746,-72.971,1.4294941618469084,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,4
1965-02-27,28.133,-112.208,-1.1346795570743498,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,4
1965-03-01,-5.377,152.115,-0.14466252700223597,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-03-01,21.104,121.218,-0.14466252700223597,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-03-01,-5.371,152.055,0.12248922515619512,-0.9520106862444903,0,0,0,0,1,0,0,0,0,0,0
1965-03-01,21.122,121.148,-0.14466252700223597,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-03-01,52.204,173.911,-0.03968180037916082,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-03-01,15.404,-92.623,1.031916951858406,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,4
1965-03-02,38.399,28.226,-1.1346795570743498,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-03-03,-27.145,-177.262,-0.7766486867831941,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,1
1965-03-03,-5.514,151.819,-0.7886680918393513,1.9443351346976394,0,0,0,0,1,0,0,0,0,0,0
1965-03-03,53.046,171.308,-0.28734575921293404,1.0409430729240485,0,0,0,0,1,0,0,0,0,0,0
1965-03-04,-5.487,146.993,1.6415268105989025,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-03-05,50.928,179.511,-0.14466252700223597,-0.9520106862444903,0,0,0,0,1,0,0,0,0,0,0
1965-03-05,52.39,174.937,-0.001780453857957312,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-03-05,-27.027,-63.214,2.6236598333846155,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,4
1965-03-05,52.416,174.239,-0.001780453857957312,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-03-06,-18.425,-132.923,-1.1346795570743498,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,-1
1965-03-06,20.13,121.461,0.23244143368315362,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-03-07,-29.998,-177.968,0.33103707754803124,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,1
1965-03-09,39.197,23.86,-0.7766486867831941,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
1965-03-13,53.292,-162.331,-0.5168078356520622,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,3
1965-03-14,36.405,70.724,1.6779057029396336,3.402674587649325,0,0,0,0,1,0,0,0,0,0,0
1965-03-15,22.635,121.117,-0.7766486867831941,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-03-16,40.697,143.032,-0.08203127644546256,1.2720578817289052,0,0,0,0,1,0,0,0,0,0,0
1965-03-17,52.785,171.821,-0.312731353622927,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-03-18,-20.036,-175.89,1.753120797217743,1.0409430729240485,0,0,0,0,1,0,0,0,0,0,1
1965-03-18,-55.857,-26.758,-0.001780453857957312,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,2
1965-03-19,-1.887,119.836,0.12248922515619512,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
