,Magnitude,Magnitude,Magnitude,Depth,Depth,Depth,magnitude_range,depth_range,Value_count
,min,max,mean,min,max,mean,,,
Cluster,,,,,,,,,
-1,5.5,7.9,5.815333822450477,1.3,50.0,12.463338224504769,2.4000000000000004,48.7,1363
0,5.5,9.1,5.895915753522129,0.7,691.6,67.61523822399316,3.5999999999999996,690.9,14054
1,5.5,8.1,5.83200155159038,1.5,700.0,162.70142746314974,2.5999999999999996,698.5,2578
2,5.5,7.7,5.820305980528512,3.35,307.6,36.65474269819193,2.2,304.25,719
3,5.5,8.0,5.901925545571245,0.4,274.8,38.05667522464699,2.5,274.40000000000003,779
4,5.5,8.8,5.900979339951704,0.02,650.0,57.41876388516233,3.3000000000000007,649.98,3727
